address	lat,long	type	propertyType	subtype	buildingSize	spaceAvailablity	bill	rent	spaces	description
1125 State Highway 110 N, Whitehouse, TX 75791	32.245161	-95.233783	Office	Office	Office Building	6,513 SF Bldg	1,223 SF	$129.43	$12 /SF/Yr	1 Space	1,223 rentable square feet for lease.Total Property SF: 6,513. Parking Ratio: 6.3 spaces per 1,000 SF.
11550 Fuqua Street, Houston, TX 77034	29.617206	-95.213504	Office	Office	Office Building	83,637 SF Bldg	494 - 6,102 SF	$52.28 - $645.80	$23 /SF/Yr	9 Spaces	Located at the intersection of Gulf Freeway and Fuqua, the Chase Bank Building. There are 14 corner offices per floor, marble-wall elevator lobbies, fully-equipped.
12035 Rojas, El Paso, TX 79936	31.725889	-106.296776	Warehouse and Storage	Industrial	Warehouse	84,000 SF Bldg	35,984 SF	$1,439.36	Negotiable	1 Space	Warehouse/Industria Facility with tilt wall construction. Located in Vista Del Sol Industrial Park, with easy access to Interstate 10.
12101 Cutten Road, Houston, TX 77066	29.957459	-95.531145	Warehouse and Storage	Industrial	Distribution Warehouse	111,934 SF Bldg	111,934 SF	$4,477.36	Negotiable	1 Space	(+/-)25,715 Office Space. ESFR Sprinkler System. Crane Served. 30' Clear Height. Heavy Power. (+/-) 9 Acres of land. Easy Access to Beltway 8 and Hwy 249.
12117 Bee Caves Road, Austin, TX 78738	30.307319	-97.928342	Office	Office	Office Building	11,434 SF Bldg	2,003 SF	$211.98	$10 /SF/Yr	1 Space	Professional configuration with high end finish outs and upgraded reception area. Credit sublessor. Building II of Triton Center off Bee Caves.
1223 Brittmoore, Houston, TX 77043	29.792335	-95.571744	Office	Office	Office Building	81,200 SF Bldg	54,374 SF	$5,754.58	Negotiable	1 Space	Office building and up to seven (7) metal warehouse buildings. Located on West Outer Loop.
12273 Gateway West, El Paso, TX 79936	31.707086	-106.288805	Warehouse and Storage	Industrial	Distribution Warehouse	120,000 SF Bldg	24,000 SF	$960.00	Negotiable	1 Space	Warehouse/distribut facility. Located in the Vista del Sol Industrial Park, with easy access to Loop 375 and Interstate 10.
1235 North Loop West, Houston, TX 77008	29.811863	-95.421749	Office	Office	Office Building	219,799 SF Bldg	7,634 SF	$807.93	Negotiable	1 Space	2-story marble covered building lobby. On-site deli, ATM and building conference room. Garage parking. Central location  with close proximity to retail, dining, hotels and all major freeways.
1250 S. Capital of Texas Highway, Austin, TX 78746	30.280223	-97.823392	Office	Office	Office Building	270,711 SF Bldg	1,320 SF	$139.70	$15 /SF/Yr	1 Space	The Cielo Center features a building conference center, covered parking and a fitness center. Located in Westlake Hills.
12502-12503 Exchange Drive, Stafford, TX 77477	29.63583	-95.592483	Warehouse and Storage	Industrial	Distribution Warehouse	124,800 SF Bldg	7,362 SF	$294.48	Negotiable	1 Space	High finish flex space now available. Office, engineering, manufacturing, or warehouse. Deed restricted project in Corporate Business Park.
12521 Harris Branch Pkwy, Manor, TX 78653	30.374578	-97.606959	Warehouse and Storage	Industrial	Warehouse	179,200 SF Bldg	44,800 SF	$1,792.00	Negotiable	1 Space	Northeast Crossing is a 179,200 SF industrial building. Located on Harris Branch Pkwy just north of Parmer Lane.
12555 Harris Branch Pkwy Manor, TX 78653	30.374473	-97.609398	Warehouse and Storage	Industrial	Warehouse	192,150 SF Bldg	96,075 SF	$3,843.00	Negotiable	1 Space	Tilt-up concrete building will have 37'-6\" x 45'-9\" column spacing for a 300' x 640'-6\" building footprint. Tenants will enjoy prominent visibility, individual company identification, and \"Triple Freeport\" inventory tax.
12650 North Beach Fort Worth, TX 76244	32.957079	-97.281599	Office	Office	Medical Office	8,886 SF Bldg	8,886 SF	$940.44	Negotiable	1 Space	The V-shaped design of this building ensures that every tenant has a great location. Stemming from this strong infrastructure system are corporate campuses.
12668 Silicon Dr San Antonio, TX 78249	29.555891	-98.591227	Office	Office	Office Building	72,474 SF Bldg	15,562 SF	$1,646.98	$15 /SF/Yr	1 Space	Shell space available for custom finish- out. High efficiency HVAC systems. Excellent location and access to IH 10 & 1604Adjacent to USAA and South Texas Medical Center.
12672 Silicon Dr San Antonio, TX 78249	29.556041	-98.592154	Office	Office	Office Building	48,769 SF Bldg	21,737 SF	$2,300.50	$15 /SF/Yr	1 Space	High efficiency HVAC systems. Abundance of parking w/ 5:1,000 SF parking. Excellent location and access to IH 10 & 1604. Adjacent to USAA and South Texas Medical Center.
12720 Hillcrest Road, Dallas, TX 75230	32.922388	-96.783689	Office	Office	Office Building	168,189 SF Bldg	2,584 SF	$273.47	$17 /SF/Yr	1 Space	Term: 7/31/2019. Rate: $17.00 per SF. Furniture is negotiable. 6:1,000 Parking. Located on the SEC of I-635 & Hillcrest Drive, with panoramic views.
1300 W. Mockingbird Ln Dallas, TX 75247	32.820551	-96.865829	Office	Office	Office Building	154,785 SF Bldg	25,981 SF	$2,749.66	Negotiable	1 Space	Entire 2nd FloorSublease Expires 10/31/18. Mostly Open with some offices. 1300 W. Mockingbird is a class B, 5 Story building that has just finished renovations.
1300-1400 N Highway 360 Grand Prairie, TX 75050	32.770412	-97.062164	Warehouse and Storage	Industrial	Warehouse	126,590 SF Bldg	125,000 - 437,000	$5,000.00 - $17,480.00	Negotiable	4 Spaces	BTS Office; 50' x 52' w/ 60' D staging bay; 470' building depth; 46 trailer parking spaces (expandable). 360 Global Logistics Park - SH360 & I-30.
1301 McKinney Street, Houston, TX 77002	29.755613	-95.361529	Office	Office	Office Building	1,247,060 SF Bldg	5,233 SF	$553.83	$15 /SF/Yr	1 Space	Move-in Ready, Large Offices, Spacious Kitchen & Elegant Reception Area.
1310 Electronic Drive Carrollton, TX 75006	32.943158	-96.914957	Warehouse and Storage	Industrial	Warehouse	234,904 SF Bldg	234,904 SF	$9,396.16	$4 /SF/Yr	1 Space	Delivers Oct. 2015. North Stemmons/Valwood, Valwood Corporate Center Bldg 4.
13155 Noel Rd, Dallas, TX 75240	32.927068	-96.818626	Office	Office	Office Building	523,039 SF Bldg	724 - 22,045 SF	$76.62 - $2,333.10	$25 - 26 /SF/Yr	14 Spaces	Three Galleria Tower is a prominent landmark with its bell tower profile strategically placed. The Office Towers are connected to the Galleria Mall and are in close proximity to several prominent hotels.
1327 Lake Pointe Parkway, Sugar Land, TX 77478	29.604772	-95.619928	Office	Office	Medical Office	125,000 SF Bldg	1,337 - 3,655 SF	$141.50 - $386.82	$24.50 /SF/Yr	5 Spaces	Sugar Land Medical Plaza is designed using the latest innovations in health technology. Located at Highway 59 South and Highway 6 in Sugar Land.
13355 Noel Rd, Dallas, TX 75240	32.929446	-96.818856	Office	Office	Office Building	464,043 SF Bldg	1,378 - 15,100 SF	$145.84 - $1,598.08	$25 - 26 /SF/Yr	15 Spaces	One Galleria Tower is the centerpiece of the Dallas Galleria Office Towers linking the trio together. Ideally located at the intersection of the Dallas North Tollway and I-635.
13442 San Pedro Ave, San Antonio, TX 78216	29.562523	-98.481417	Retail	Retail	Neighborhood Center	88,169 SF GLA	800 - 10,000 SF	$79.33 - $991.67	Negotiable	4 Spaces	Excellent visibility from Hwy 281. Located at the busy intersection of Hwy 281 & Bitters Rd. Area retailers include: Walgreens, Target, Home Depot.
13455 Noel Rd, Dallas, TX 75240	32.930164	-96.819617	Office	Office	Office Building	431,718 SF Bldg	1,844 - 23,939 SF	$195.16 - $2,533.54	$25 - 26 /SF/Yr	12 Spaces	One Galleria Tower is the centerpiece of the Dallas Galleria Office Towers linking the trio together.
13601 N Freeway, Fort Worth, TX 76177	32.870701	-97.317918	Office	Office	Office Building	114,710 SF Bldg	14,400 SF	$1,524.00	$19 /SF/Yr	1 Space	Heritage Commons II - Alliance Center, 2-story Building. Across from Alliance Airport. Freeway frontage to Interstate 35W. 20 minutes to DFW Airport.
13601 N. Freeway, Fort Worth, TX 76177	32.870701	-97.317918	Office	Office	Office Building	114,710 SF Bldg	100,000 SF	$10,583.33	Negotiable	1 Space	Available 10/1/16. Up to Approximately 100,000 SF of Plug- N-Play Space. Covered Parking. Alliance, Texas Opportunity.
13642 North Highway 183, Austin, TX 78750	30.453656	-97.79332	Office	Office	Medical Office	17,146 SF Bldg	1,500 - 2,453 SF	$158.75 - $259.61	$16 - 18 /SF/Yr	2 Spaces	Ideal for medical users or other office users. Pylon sign visibility from Highway 183/Research Blvd. Located on southbound Hwy 183 frontage road between Lake Creek Parkway and Anderson Mill Road.
13901 Aviator Way Fort Worth, TX 76177	32.984394	-97.313303	Office	Office	Office Building	209,081 SF Bldg	209,081 SF	$22,127.74	Negotiable	1 Space	Available for Sublease: 209,081 SF 2-Story Office/Hangar, Alliance Airport; 84,710 SF - 2-Story. On Alliance Airport, Direct Runway access.
13988 Diplomat Drive, Farmers Branch, TX 75234	32.935956	-96.905988	Office	Office	Medical Office	41,112 SF Bldg	26,383 SF	$2,792.20	$135 /SF/Yr	1 Space	114 Car parks. SprinkleredTilt- wall construction built in 1999.
140 Cypress Station, Houston, TX 77090	30.032882	-95.433244	Office	Office	Office Building	163,010 SF Bldg	5,919 SF	$626.43	$15 /SF/Yr	1 Space	On-site security. Card key access. Situated on beautifully wooded site. Located in North Houston.
1404 W. Moore Ave Terrell, TX 75160	32.739847	-96.299088	Retail	Retail	Neighborhood Center	112,861 SF GLA	1,800 - 5,000 SF	$178.50 - $495.83	Negotiable	3 Spaces	Bealls, Big Lots, Family Dollar, Aarons, and Furniture One anchored neighborhood. The property is centrally located at the main intersection in Terrell at Hwy 205 and W. Moore Ave.
1420 Cypress Creek Rd Cedar Park, TX 78613	30.482501	-97.829752	Retail	Retail	Neighborhood Center	20,000 SF GLA	1,388 - 4,964 SF	$137.64 - $492.26	Negotiable	2 Spaces	Shadow-anchored by Randall' s and Gold' s Gym. Area retailers include Sprouts, Walgreens, Bank of America. Located at the northeast corner of Lakeline Blvd & Cypress Creek Rd.
1435 S Loop 288, Denton, TX 76201	33.194154	-97.092579	Retail (Mall)	Retail	Strip Center	26,975 SF GLA	1,200 - 8,000 SF	$194.00 - $1,293.33	Negotiable	4 Spaces	Shopping Center. Former Anna's Linens space available. Located on Spencer Rd & Loop 288.
14500 FAA Blvd, Fort Worth, TX 76155	32.83397	-97.048953	Warehouse and Storage	Industrial	Distribution Warehouse	463,115 SF Bldg	463,115 SF	$18,524.60	$3.65 /SF/Yr	1 Space	4 Cambridge heaters; 28 roof- mounted exhaust fans w/ minimum 3 air changes per hour; cross dock. Adjacent to South Entrance of DFW International. Equidistant from Dallas & Fort Worth.
1460 N Glenville Dr. Richardson, TX 75081	32.965143	-96.704192	Warehouse and Storage	Industrial	Flex Space	121,068 SF Bldg	121068 SF	$4,842.72	Negotiable	1 Space	100% HVAC. Designed to Support Heavy Power-5 Mega Watts of Utility Power. Richardson, TX: North of Arapaho Rd and West of Plano Rd.
1485 East Sam Houston Pky South Pasadena, TX 77503	29.68676	-95.15134	Warehouse and Storage	Industrial	Warehouse	118,000 SF Bldg	23,600 SF	$944.00	Negotiable	1 Space	(+/-)23,600 SF of Warehouse/Office Space Available. All concrete tilt-wall. Located near Houston Ship Channel. Frontage on East Sam Houston Parkway.
1485 FM 1960 East Bypass, Humble, TX 77338	30.003497	-95.25163	Office	Office	Medical Office	45,000 SF Bldg	1,683 - 6,043 SF	$178.12 - $639.55	$24.50 /SF/Yr	4 Spaces	Newly constructed building adjacent to Humble Surgical Hospital with 24 hour Emergency Department. Located on FM 1960 in Humble with easy access to Eastex Freeway (Hwy 59).
1500 Citywest, Houston, TX 77042	29.746551	-95.561479	Office	Office	Office Building	192,313 SF Bldg	634 - 3,831 SF	$67.10 - $405.45	$21 /SF/Yr	4 Spaces	Class A office building with on-site management, deli. Major renovations are planned to be completed in 2015. Excellent access to Sam Houston and Westpark Tollroads.
1501 River Pointe Drive, Conroe, TX 77304	30.282294	-95.463056	Office	Office	Medical Office	68,832 SF Bldg	1,928 - 3,765 SF	$204.05 - $398.46	$21 /SF/Yr	4 Spaces	Move in ready suites from 2,000 to 4,000 SF. 68,832 SF Class A Medical Office Building4.  Located two blocks from Conroe Regional Medical Hospital.
1504 Aquarena Springs Dr, San Marcos, TX 78666	29.892211	-97.919384	Retail	Retail	Community Center	19,600 SF GLA	1,000 - 2,000 SF	$99.17 - $198.33	Negotiable	2 Spaces	Located less than half a mile from Texas State University. Over 34,000 students and 3,050 faculty. Co-tenancy with Nutrishop, Supercuts, Teapioca Lounge, San Marcos Nails, Colloquium.
15280 Addison Road, Addison, TX 75001	32.957227	-96.829297	Office	Office	Office Building	68,420 SF Bldg	8,219 SF	$869.84	$15.50 /SF/Yr	1 Space	Plug & Play with Furniture & Cabling Included. 8,219 RSF of Contiguous Space. 1 Large Conference Room. Excellent Location Great Access to Tollway, Addison Circle & Belt Line Road. Covered Parking.
15600 JFK Boulevard, Houston, TX 77098	29.943685	-95.330741	Office	Office	Office Building		7,214 SF	$763.48	$10 /SF/Yr	1 Space	24-Hour Security. Conferencing Facility. Fitness Center. On-site Deli. Attached Garage. Minutes from Bush Intercontinental Airport.
15877 Long Vista Drive, Austin, TX 78728	30.460291	-97.674766	Warehouse and Storage	Industrial	Warehouse	152,460 SF Bldg	34,500 - 57,500 SF	$1,380.00 - $2,300.00	Negotiable	2 Spaces	 
15890 Southwest Fwy, Sugar Land, TX 77478	29.600424	-95.622848	Retail	Land	Retail-Pad (land)		1,165 - 10,000 SF	$115.53 - $991.67	Negotiable	4 Spaces	Shopping center anchored by Whole Foods. All spaces are new, shell delivery with 75' depths.
1606 Greens Road, Houston, TX 77032	29.952518	-95.37752	Warehouse and Storage	Industrial	Distribution Warehouse	118,400 SF Bldg	59,200 SF	$2,368.00	$5.28 /SF/Yr	1 Space	118,400 SF Total (Divisible to 27,200 SF), 6,513 SF Office (in three pods), 1.9 Acres of Outside Storage. Foreign Trade Zone. Easy Access to Hardy Toll Road and Beltway 8.
1607 South Lamar, Austin, TX 78704	30.251231	-97.764765	Retail	Retail	Free Standing Bldg	8,570 SF Bldg	8,570 SF	$849.86	Negotiable	1 Space	Hard corner. Available for single-tenant ground lease. Prime South Lamar location.
16088 San Pedro Ave., San Antonio, TX 78232	29.587716	-98.473594	Office	Office	Medical Office	29,367 SF Bldg	2,367 SF	$250.51	$17.50 /SF/Yr	1 Space	 
1616 S Voss Road Houston, TX 77057	29.751316	-95.501602	Office	Office	Office Building	179,061 SF Bldg	909 - 8,814 SF	$96.20 - $932.82	$18 /SF/Yr	10 Spaces	1616 S. Voss is in a prime location in the heart of Houston's Memorial residential area and features attractive amenities. The building overlooks the fine homes and clubs of Memorial.
16225 Park Ten Place Drive Houston, TX 77084	29.786276	-95.663776	Office	Office	Office Building	162,909 SF Bldg	4,804 SF	$508.42	$15 /SF/Yr	1 Space	On-site management and maintenance, on- site deli, courtesy offices, 24/7 controlled building. Heart of the Energy Corridor, easy access to Hwy 6, I- 10, Beltway 8 and Grand Parkway.
17101 La Cantera Parkway, San Antonio, TX 78256	29.610892	-98.606746	Retail	Retail	Neighborhood Center	38,130 SF GLA	1,929 - 77,101.20	$191.29 - $7,645.87	Negotiable	7 Spaces	Tenant finish-out packages will be discussed on a case by case basis depending needs. Located at the intersection of IH- 10 & Loop 1604.
1775 St. James Place, Houston, TX 77056	29.747491	-95.472742	Office	Office	Office Building	66,759 SF Bldg	10,103 - 23,588 SF	$1,069.23 - $2,496.40	$25.50 /SF/Yr	3 Spaces	Free Surface Spaces; Free Covered Spaces; Ratio of 3.50/1,000 SF. The property is located minutes from Loop 610, Westheimer Rd and Post Oak Blvd.
1790 Commerce Park, Suite B, El Paso, TX 79912	31.896437	-106.575743	Warehouse and Storage	Industrial	Warehouse	120,000 SF Bldg	13,182 SF	$527.28	Negotiable	1 Space	This warehouse / distribution space has adequate parking in front of the suite. This building has excellent access to Interstate 10 & Loop 375.
1801 Alma Dr., Plano, TX 75075	33.023968	-96.718949	Office	Office	Office Building	100,208 SF Bldg	3,101 - 17,209 SF	$328.19 - $1,821.29	$19 /SF/Yr	4 Spaces	Most competitive rates on shell space in Plano. Fiber connectivity available. Efficient design. Across the street from Collin Creek Mall DART bus stop at the property.
1825 Westpark Drive, Grand Prairie, TX 75050	32.77769	-97.056528	Warehouse and Storage	Industrial	Distribution Warehouse	87,508 SF Bldg	43,754 SF	$1,750.16	$4.25 /SF/Yr	1 Space	41' x 43' column spacing. Excess parking for possible angled trailer storage. Easy access to major thoroughfares - SH360, Hwy 161 & I-30.
18383 Preston Road, Dallas, TX 75252	33.001757	-96.796987	Office	Office	Office Building	92,196 SF Bldg	13,169 - 20,287 SF	$1,393.72 - $2,147.04	$15 /SF/Yr	2 Spaces	Plug & Play with Furniture. Elevator Exposure. Great Access to Pres. George Bush Hwy. Preston Road, north of Frankford Road.
18402 Hwy 281, San Antonio, TX 78259	29.610637	-98.46577	Office	Office	Office Building	39,844 SF Bldg	1,896 - 4,300 SF	$200.66 - $455.08	$23 /SF/Yr	3 Spaces	Part of Legacy Lifestyle Development. NEC of Highway 281 and Loop 1604Convenient to Loop 1604 and Highway 281.
18402 Hwy 281, San Antonio, TX 78259	29.610637	-98.46577	Office	Office	Office Building	45,002 SF Bldg	600 - 13,454 SF	$63.50 - $1,423.88	$23 /SF/Yr	4 Spaces	Part of Legacy Lifestyle Development. NEC of Highway 281 and Loop 1604Convenient to Loop 1604 and Highway 281.
18641 - 18671 Lyndon B Johnson Freeway, Mesquite, TX 75150	32.802064	-96.62813	Retail (Mall)	Retail	Strip Center	26,635 SF GLA	4,250 SF	$687.08	Negotiable	1 Space	Join Panera Bread, FedEx Office, Vitamin Shoppe, Sprint and coming soon AT&T. NWC Towne Centre Drive & LBJ Freeway.
18951 -19051 Kenswick Drive Humble, TX 77338	29.993783	-95.298222	Warehouse and Storage	Industrial	Distribution Warehouse	163,750 SF Bldg	22,400 - 160,821	$896.00 - $6,432.84	$6 - 6.96 /SF/Yr	3 Spaces	Located adjacent to the IAH Cargo Center, also known as the East Cargo Area.
1901 Capital Parkway, Austin, TX 78746	30.259965	-97.79797	Office	Office	Office Building	24,437 SF Bldg	24,437 SF	$2,586.25	$27 /SF/Yr	1 Space	Building will be renovated late 2015. 10 foot ceilings. 4.2/1,000 Parking.
1902 Federal Rd., Houston, TX 77015	29.75356	-95.213558	Warehouse and Storage	Industrial	Distribution Warehouse	56,125 SF Bldg	56,125 SF	$2,245.00	$4.20 /SF/Yr	1 Space	Property is fenced, concrete or stabilized. Three buildings total on 3 acres. Fronting Federal Rd with quick access to I-10.
19026 Ridgewood Parkway, San Antonio, TX 78259	29.617522	-98.461368	Office	Office	Office Building	147,000 SF Bldg	36,750 SF	$3,889.38	$21 /SF/Yr	1 Space	Sublease runs through 11/30/2030 (Shorter sublease terms preferred). Available Space: 2nd Floor. Located off 1604 and 281 minutes from San Antonio International Airport.
19245 Kenswick Dr, Humble, TX 77338	29.995165	-95.298313	Warehouse and Storage	Industrial	Warehouse	74,880 SF Bldg	49,920 SF	$1,996.80	Negotiable	1 Space	51 acre deed restricted business park. Dock-high, concrete tilt-wall buildings. A premier business park located just minutes from Bush Intercontinental Airport on Kenswick Drive.
200 Crescent Court, Dallas, TX 75201	32.79361	-96.803818	Office	Office	Office Building	390,305 SF Bldg	17,497 SF	$1,851.77	Negotiable	1 Space	Crescent Hotel, Ritz Carlton Hotel. Capital Grille & Palomino' s Restaurant. On-Site Banking. Uptown Dallas Submarket
2008 Fortview Road, Austin, TX 78704	30.231444	-97.788004	Office	Office	Creative/Loft	1,364 SF Bldg	1,364 SF	$144.36	$35 /SF/Yr	1 Space	Plenty of outdoor patio space. 400 SF garage with overhead door. Gross rental rate inclusive of utilities. Excellent 78704 location. Located on the same site as the award winning coffee shop/beer garden Radio.
